timestamp,pressure_mBar,mh20_m,conductivity_raw_V,temperature_C,battery_V,rssi_dBm,temperature_logger_C,pressure_logger_mBar,voltage_logger_V
2024-08-29 01:44:58,1651.2998046875,7.076237182617188,3.314,-1.0999999999999943,4.048,-80.0,6.073706150054932,943.6760864257812,12.9426
2024-08-29 00:44:58,1596.3681640625,6.529933471679687,3.317,-1.0999999999999943,4.048,-80.0,6.211600303649902,943.3748168945312,13.024600000000001
2024-08-28 23:44:58,1471.24609375,5.279134521484376,3.317,-1.0999999999999943,4.051,-80.0,6.415518760681152,943.3326416015625,13.082
2024-08-28 22:44:58,1581.109375,6.3801293945312505,3.312,-1.0999999999999943,4.048,-80.0,6.761679649353027,943.096435546875,13.1353
2024-08-28 21:44:58,1233.208984375,2.902727050781251,3.314,-1.0999999999999943,4.048,-80.0,7.112595081329346,942.936279296875,13.2009
2024-08-28 20:44:58,1150.8115234375,2.078743286132813,3.307,-1.0999999999999943,4.048,-81.0,7.502772331237793,942.9371948242188,13.660100000000002
2024-08-28 19:44:58,1608.5751953125,6.655245971679688,3.31,-1.0999999999999943,4.048,-80.0,7.792552471160889,943.0505981445312,14.5006
2024-08-28 18:44:58,1809.9912109375,8.671052856445312,3.306,-1.0499999999999972,4.048,-80.0,8.6839017868042,942.8859252929688,13.934800000000001
2024-08-28 17:44:58,2139.5810546875,11.96694030761719,3.295,-1.0999999999999943,4.048,-80.0,9.524168968200684,942.8870239257812,14.139800000000001
2024-08-28 16:44:58,1983.94140625,10.414276733398438,3.286,-1.0999999999999943,4.048,-80.0,10.745511054992676,942.5137329101562,14.5539
2024-08-28 15:44:58,1632.9892578125,6.898044433593751,3.269,-1.0999999999999943,4.048,-80.0,9.603100776672363,943.184814453125,14.3038
2024-08-28 14:44:57,1089.7763671875,1.4640716552734379,3.249,-1.0999999999999943,4.051,-81.0,8.216150283813477,943.3692016601562,14.435
2024-08-28 13:44:57,952.4472656249999,0.08434143066406219,3.498,-1.0999999999999943,4.048,-86.0,7.514727592468262,944.0131225585938,13.393600000000001
2024-08-28 12:44:57,952.4472656249999,0.0818585205078115,3.495,-1.0999999999999943,4.048,-86.0,7.803420543670654,944.2614135742188,13.2911
